Rank,ID,Country,Continent,Population,IMF_GDP,UN_GDP,IMF_GDP_per_capita,
20,158,Taiwan,Asia,23923.28,8.92516E+11,0,37307.43,0
71,834,Tanzania,Africa,67438.11,86152000000,0,1277.5,0
145,706,Somalia,Africa,18143.38,9185000000,1318057519,506.25,72.64674603
155,108,Burundi,Africa,13238.56,3686000000,2873699606,278.43,217.0704069
140,454,Malawi,Africa,20931.75,11325000000,5318197658,541.04,254.0732456
125,562,Niger,Africa,27202.84,17303000000,7528285819,636.07,276.7463184
160,140,Central African Republic,Africa,5742.32,2877000000,1810388740,501.02,315.2713085
121,508,Mozambique,Africa,33897.35,19519000000,10930131568,575.83,322.4479662
163,270,Gambia,Africa,2773.17,2341000000,985831536,844.16,355.4890382
132,450,Madagascar,Africa,30325.73,15189000000,11222263845,500.86,370.0575005
82,180,DR Congo,Africa,102262.81,71487000000,40337492609,699.05,394.4492882
152,694,Sierra Leone,Africa,8791.09,4266000000,3674756785,485.26,418.0092326
188,4,Afghanistan,Asia,42239.85,0,20235063330,479.05,479.0514959
143,768,Togo,Africa,9053.8,9539000000,4449262345,1053.59,491.4248542
115,854,Burkina Faso,Africa,23251.49,21280000000,11695117109,915.21,502.9835554
154,430,Liberia,Africa,5418.38,4064000000,2756817825,750.04,508.7900489
88,800,Uganda,Africa,48582.33,50100000000,25307842467,1031.24,520.9268981
169,624,Guinea-Bissau,Africa,2150.84,1802000000,1122643236,837.81,521.9557178
65,231,Ethiopia,Africa,126527.06,1.16247E+11,70314560872,918.75,555.7274537
141,728,South Sudan,Africa,11088.8,10771000000,6534451826,971.34,589.2839465
113,324,Guinea,Africa,14190.61,22945000000,8476136811,1616.91,597.3060222
117,466,Mali,Africa,23293.7,21191000000,14001696748,909.73,601.0937184
138,646,Rwanda,Africa,14094.68,13170000000,8473784827,934.39,601.2044847
137,148,Chad,Africa,18278.57,13517000000,11267295771,739.5,616.4210751
197,408,North Korea,Asia,26160.82,0,16788601831,641.75,641.7460091
119,204,Benin,Africa,13712.83,20029000000,8893638002,1460.6,648.5632799
116,332,Haiti,North America,11724.76,21195000000,7647347306,1807.71,652.2391338
98,524,Nepal,Asia,30896.59,39028000000,20914004957,1263.18,676.9033397
146,762,Tajikistan,Asia,10143.54,7699000000,6951679338,759.01,685.330697
106,887,Yemen,Asia,34449.83,29556000000,25374086438,857.94,736.5518622
102,686,Senegal,Africa,17763.16,32107000000,14604520531,1807.5,822.1803176
209,760,Syria,Asia,23227.01,0,22163075121,954.19,954.1940663
142,478,Mauritania,Africa,4862.99,9705000000,4667119320,1995.69,959.7221709
162,426,Lesotho,Africa,2330.32,2716000000,2241017076,1165.51,961.6778279
99,716,Zimbabwe,Africa,16665.41,34654000000,16123763648,2079.4,967.4987683
144,417,Kyrgyzstan,Asia,6735.35,9511000000,6551291140,1412.1,972.6727104
108,894,Zambia,Africa,20569.74,27709000000,21063063977,1347.08,1023.982995
90,120,Cameroon,Africa,28647.29,49518000000,32217073816,1728.54,1124.611571
206,586,Pakistan,Asia,240485.66,0,2.82506E+11,1174.73,1174.7312
104,116,Cambodia,Asia,16944.83,30239000000,20016747858,1784.56,1181.289388
79,104,Myanmar,Asia,54578,73543000000,65697616068,1347.48,1203.738064
75,288,Ghana,Africa,34121.99,78893000000,42793869465,2312.09,1254.143427
74,384,Ivory Coast,Africa,28873.03,80338000000,36767790205,2782.46,1273.430264
130,178,Republic of the Congo,Africa,6106.87,15641000000,7778081883,2561.21,1273.660956
40,50,Bangladesh,Asia,172954.32,4.38436E+11,2.20837E+11,2534.98,1276.850054
63,404,Kenya,Africa,55100.59,1.19127E+11,70525979046,2161.99,1279.949617
185,296,Kiribati,Oceania,133.52,233000000,173655146,1745.12,1300.592765
173,174,Comoros,Africa,852.08,1386000000,1149802573,1626.62,1349.406832
161,232,Eritrea,Africa,3748.9,2777000000,5413804303,740.75,1444.104752
181,678,Sao Tome and Principe,Africa,231.86,569000000,342781695,2454.11,1478.399444
